imdb_id,title,year,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
3614530,Jem and the Holograms,2015,5.0,2.3336840000000003,119,5.4,132,5.394112000000001,145028,266639.0,Adventure|Comedy|Drama|Fantasy,Jon M. Chu,38,0,38,N,-0.0002006688649347,4.298014618628327e-05
2006295,The 33,2015,25.0,24.902723,120,6.0,386,8.383246,145030,293646.0,Drama,Patricia Riggen,8,2,10,N,0.000277371612916,-0.0002102890350943
2910904,The Dressmaker,2015,11.93,18.34,118,6.9,419,7.956860000000001,145150,298382.0,Comedy|Drama|Thriller,Jocelyn Moorhouse,7,5,12,N,-5.63905805927475e-05,3.785233405542787e-05
3203606,Trumbo,2015,15.0,8.235661,124,7.3,507,7.358726,145418,294016.0,Drama,Jay Roach,17,44,61,N,-2.825247231548337e-05,0.0004304604390034
3540136,Wolf Warrior,2015,12.0,80.0,90,5.8,29,2.1627810000000003,145773,335462.0,Action|Adventure,Wu Jing,0,0,0,N,-0.0002562674819659,-7.295414853125791e-05
3322364,Concussion,2015,35.0,50.36379,123,7.0,844,7.739783,145839,321741.0,Drama,Peter Landesman,18,1,19,N,0.0003372606827166,0.0001134390479711
2452042,The Peanuts Movie,2015,99.0,246.233113,88,6.5,608,12.338346000000001,145935,227973.0,Adventure|Animation|Comedy,Steve Martino,45,64,109,0059026|0060230|0060550|0062513|0063048|0064501|0064107|0067587|0069289|0069525|0070793|0068359|0071678|0071679|0072687|0073922|0074697|0076591|0076217|0076911|0080161|0174200|0080461|0173983|0082570|0174226|0173721|0123119|0123123|0123322|0084996|0123122|0174220|0153997|0123099|0174222|0173934|0286397|0123325|0174221|0173933|0104534|0159142|0173932|0203593|0283987|0382602|0389128|0387301|0906322|1810633,-0.0003385301407424,-0.0002650801365756
0325005,Antikiller,2002,5.0,0.340312,113,4.8,5,0.19153900000000001,146004,41955.0,Action,Yegor Konchalovsky,0,0,0,N,0.0004199034289251,-7.527256534279582e-06
0118983,Dil To Pagal Hai,1997,1.3,11.0,179,6.6,41,2.161941,146244,13986.0,Comedy|Drama,Yash Chopra,25,1,26,N,-0.0002978249126194,0.0003113904545607
0248012,Fiza,2000,1.0,0.623791,170,6.1,7,0.25455300000000003,146396,56666.0,Drama,Khalid Mohammed,3,1,4,N,0.0003165651178133,-0.0003004806829776
3076658,Creed,2015,37.0,173.56758100000002,133,7.3,1963,33.449723,146656,312221.0,Drama,Ryan Coogler,80,15,95,6343314|1114511|0075148|0079817|0084602|0089927|0100507|0479143,-0.00030525912047500004,-0.0002229476310307
1831829,William & Kate,2011,2e-05,1.4999999999999999e-05,83,5.8,30,2.4936380000000002,146660,62796.0,Drama,Mark Rosman,7,1,8,N,0.0001976458216612,0.0003657794162373
