imdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies
0110763,The Pagemaster,1994,27.0,13.670688,80,6.2,178,7.436001,558,15139.0,Action|Adventure|Animation|Fantasy,Joe Johnston,32,9,41,5554958
0099785,Home Alone,1990,18.0,476.684675,103,7.1,2487,0.702543,586,771.0,Comedy,Chris Columbus,832,23,855,0104431|0119303|0329200|2308733|1101206|6249970|1101206
0099653,Ghost,1990,22.0,505.0,127,6.9,1381,11.945397,587,251.0,Comedy|Drama|Fantasy|Thriller,Jerry Zucker,513,14,527,0399530|0353154|1655400
0103639,Aladdin,1992,28.0,504.050219,90,7.4,3495,16.357419,588,812.0,Adventure|Animation|Comedy|Musical,Ron Clements,938,26,964,0107952|0105935|0115491|0288416|0233177|1172058|1167012|6139732
0103064,Terminator 2: Judgment Day,1991,100.0,520.0,137,7.7,4274,22.661695,589,280.0,Action|Sci-Fi,James Cameron,1369,42,1411,0181852|0438488|1340138|6450804|8248304|0088247
0099348,Dances with Wolves,1990,22.0,424.208848,181,7.6,1084,11.654349,590,581.0,Adventure|Drama|Western,Kevin Costner,295,3,298,0050915
0096895,Batman,1989,35.0,411.348924,126,7.0,2145,19.10673,592,268.0,Action|Thriller,Tim Burton,1060,32,1092,0103776|0112462|0118688
0102926,The Silence of the Lambs,1991,19.0,272.74292199999996,119,8.1,4549,4.307222,593,274.0,Horror|Thriller,Jonathan Demme,1288,18,1306,0212985|0289765|0367959|2243973|0111068
0029583,Snow White and the Seven Dwarfs,1937,1.488423,184.92548599999998,83,6.9,1973,16.263878,594,408.0,Animation|Drama|Fantasy|Musical,David Hand,1308,1,1309,6208148
0101414,Beauty and the Beast,1991,25.0,377.350553,84,7.5,3029,23.433511,595,10020.0,Animation|Fantasy|Musical,Gary Trousdale,861,14,875,0221773|0118692|0167038|4886826|1171997|1167012|2771200
0032910,Pinocchio,1940,2.6,84.3,88,6.9,1412,14.202284,596,10895.0,Animation|Fantasy|Musical,Hamilton Luske,782,1,783,0093743|4593060
0100405,Pretty Woman,1990,14.0,463.0,119,7.0,1807,13.348451,597,114.0,Comedy,Garry Marshall,545,7,552,N
