imdb_id,title,year,budget,actual_budget,revenue,actual_revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
462590,Step Up,2006,12.0,16.56,114.19,157.58,104,6.7,1092,14.21769,47382,9762.0,Drama,Anne Fletcher,52,6,58,1023481|1193631|1800741|2626350|0462590,0.0002083698951714,0.0230524565551356
383060,Zoom,2006,35.0,48.3,12.51,17.26,83,4.9,140,11.967444,47384,14113.0,Adventure|Comedy|Drama|Fantasy,Peter Hewitt,7,16,23,0383060,-0.0139360964646645,0.0111684085168278
479647,Bon Cop Bad Cop,2006,8.0,11.04,12.67,17.48,116,6.5,43,5.397604,47394,15049.0,Action|Comedy|Thriller,Erik Canuel,4,4,8,4738174|0479647,0.0028541589542698,0.0037845271705166
468489,Half Nelson,2006,0.7,0.97,4.91,6.78,107,6.5,243,12.155115,47423,7859.0,Drama,Ryan Fleck,17,6,23,0468489,-0.0087852632107535,-0.020711206850107
410764,Tideland,2005,12.0,17.16,0.57,0.82,120,6.3,147,6.796465,47465,11559.0,Drama|Fantasy|Thriller,Terry Gilliam,7,1,8,0410764,-0.0077678514057922,-0.0099418180339065
35703,Cabin in the Sky,1943,0.66,10.65,1.61,25.99,98,7.1,8,1.233446,47493,59964.0,Fantasy|Musical,Vincente Minnelli,29,2,31,0035703,-0.0118931847488681,0.0212296056844963
384793,Accepted,2006,23.0,31.74,38.51,53.14,93,6.2,412,7.06088,47518,9788.0,Comedy,Steve Pink,11,12,23,1667076|0384793,0.0004249262576164,-0.0224851605950902
443543,The Illusionist,2006,40.0,55.2,86.92,119.95,110,7.1,1657,11.494009,47610,1491.0,Drama|Fantasy,Neil Burger,21,0,21,0443543,-0.0186502417833073,-0.0066959570655686
436697,The Queen,2006,15.0,20.7,123.38,170.26,103,6.8,344,7.904371,47629,1165.0,Drama,Stephen Frears,79,3,82,1117646|0381131|0436697,-0.0152441955534667,-0.0166271228883365
486551,Beerfest,2006,17.5,24.15,19.18,26.47,110,5.8,173,7.481125,47640,9988.0,Comedy,Jay Chandrasekhar,9,23,32,0486551,0.0226832544530909,0.0007883441681619
450345,The Wicker Man,2006,40.0,55.2,38.76,53.49,102,4.0,355,9.423256,47810,9708.0,Horror|Thriller,Neil LaBute,135,3,138,0070917|0450345,0.0196754390120871,-0.0141602128658098
473024,Crossover,2006,5.8,8.0,7.0,9.66,95,4.2,10,0.906143,47815,14351.0,Action|Drama,Preston A. Whitmore II,6,16,22,0473024,-0.0017105386352132,0.0053203528171481
414951,The Quiet,2005,0.9,1.29,0.38,0.54,96,6.1,73,4.997751,47830,9813.0,Drama|Thriller,Jamie Babbit,2,5,7,0414951,9.557903786831292e-05,-0.0134273116878189
460989,The Wind That Shakes the Barley,2006,6.5,8.97,22.89,31.59,124,7.1,155,6.752524,47894,1116.0,Drama,Ken Loach,7,0,7,0460989,-0.0044530826616645,-0.0240810029977459
475944,The Covenant,2006,20.0,27.6,37.6,51.89,97,5.2,295,12.72212,47952,9954.0,Action|Horror|Thriller,Renny Harlin,8,2,10,0115963|0475944,0.016590329529604,-0.0049825778287093
423169,Sherrybaby,2006,2.0,2.76,0.62,0.86,96,6.3,43,3.319349,47978,13075.0,Drama,Laurie Collyer,4,11,15,0423169,0.0144031009367334,0.0160713569171011
